entity_urn,United States Sales,United States Engineering,description,country_multiplier,sales_ratio,adj_hc_ratio,investor_1,investor_2,Prior VC Backed Founder_count,Deep Technical Background_count,Prior Exit_count,Elite Industry Experience_count,company_region,headcount_0m,headcount_growth_1m,headcount_growth_3m,headcount_growth_6m,headcount_growth_12m,headcount_monotonicity,headcount_concavity,max_headcount,earliest_valid_month,num_valid_months,headcount_volatility_score,trailing_growth_avg,trailing_growth_std,trailing_growth_min,trailing_growth_max,current_max_ratio,linkedin_follower_count_0m,linkedin_follower_growth_1m,linkedin_follower_growth_3m,linkedin_follower_growth_6m,linkedin_follower_growth_12m,linkedin_employees,linkedin_follower_count_max,linkedin_follower_peak_month,linkedin_current_peak_count_ratio,linkedin_follower_count_volatility,linkedin_follower_trend,followers_per_linkedin_employee,twitter_follower_count_0m,twitter_follower_count_max,twitter_follower_peak_month,twitter_current_peak_ratio,twitter_follower_count_volatility,twitter_follower_trend,emps/year,emps/funds_m,adj_emp_delta_6m,adj_emp_delta_12m,emp_highlight_count,funding_total,last_funding_type,last_funding_total,funding_stage,years_since_funding,hc_adds_since_funding,adj_hc_ratio,years_since_founding,dominant_function,business_function_entropy,dominant_emp_role,emp_role_entropy,ownership_status,gpt_sector,top_region,num_investors,employee_highlight_YC Backed Founder,employee_highlight_Prior VC Backed Executive,employee_highlight_Founder Turned Operator,employee_highlight_Current Student,employee_highlight_HBCU Alum,employee_highlight_Jack of All Trades,employee_highlight_money_club_count,employee_highlight_seasoned_count,employee_highlight_top_institution_experience_count,num_unique_vc_backers
urn:harmonic:company:3676293,0,0,"Keye offers an AI-driven platform designed for due diligence in private markets, utilizing proprietary technologies to analyze documents, extract insights, and identify risks efficiently. The system incorporates advanced data analysis methods tailored for investors, enhancing both the accuracy and speed of the due diligence process.",1.0,0.0625,1.0,1,0,1,0,0,2,North America,18.0,0.8333333134651184,0.8823529481887817,1.6666666269302368,2.5,0.6666666666666666,0.45454545454545453,16.0,17,18,0.3770811708599359,1.3545214045214042,0.3809578758132193,0.8181818181818182,1.8888888888888888,1.125,3139.0,1.028352975845337,1.8745644092559814,1.957550048828125,2.1899592876434326,16.0,3139.0,0,1.0,467.6106978094944,61.33539731682153,5.2841550527355325,22.0,23.0,13,0.9565217391304348,1.055641551364534,0.03611971104231189,3.7346521145975444,3.5294117647058822,6.0,9.0,15,4.25,SEED,3500000.0,SEED,0.09034907597535935,-3.0,1.0,4.016438356164383,business_development,0.7356219397587946,Operations,0.8018185525433373,PRIVATE,Other,North America,4,2,1,0,0,0,0,0,2,11,4
urn:harmonic:company:3823516,0,1,"The platform enables the rapid development and deployment of applications that leverage large language models, utilizing a user-friendly drag-and-drop interface and customizable API endpoints, with the option for on-premise hosting. It supports integration with various data storage solutions while ensuring compliance with security standards such as SOC2, HIPAA, and GDPR.",1.0,0.0,0.99,2,0,3,3,0,0,North America,9.0,1.4444444179534912,1.4444444179534912,1.8571428060531616,3.25,0.6666666666666666,0.5454545454545454,13.0,17,18,0.4517739896635817,1.3219246031746033,0.3414523960957958,1.0,2.0,0.6923076923076923,6775.0,1.0,1.0,1.1957288980484009,2.435298442840576,10.0,6775.0,0,1.0,1941.6223120407271,356.53044375645004,6.519884479274924,3905.0,3905.0,0,1.0,1302.9651352936692,236.59029927760588,6.186440677966101,0.6813428975008186,5.9399999999999995,8.91,20,19.079967,SERIES_UNKNOWN,16079967.0,SEED,0.27104722792607805,4.0,0.99,2.1013698630136988,business_development,0.9502705392332347,Engineering,1.1935496040981333,PRIVATE,Other,North America,7,3,3,0,3,0,0,0,3,12,7
urn:harmonic:company:12475768,2,2,"The company offers a document processing platform that utilizes AI and large language models to transform unstructured data into structured insights, enabling the automation of complex workflows across various file formats. Key functionalities include model optionality, confidence scoring, and human-in-the-loop processes to maintain accuracy and adaptability.",1.0,0.1,1.0,1,0,1,0,0,0,North America,11.0,0.9090909361839294,0.9090909361839294,0.8333333134651184,1.6666666269302368,0.5833333333333334,0.5454545454545454,10.0,17,18,0.44126752782999396,1.2311868686868686,0.30267434902043383,0.9166666666666666,1.8333333333333333,1.1,1098.0,1.0209472179412842,1.1544798612594604,1.5945945978164673,2.123106002807617,10.0,1098.0,0,1.0,207.40667639149106,36.67285861713109,4.707726774313183,,,,,,,4.959239130434782,10.0,-2.0,4.0,13,0.5,PRE_SEED,500000.0,PRE_SEED,1.782340862422998,9.0,1.0,2.0164383561643837,business_development,0.9002560512685369,Engineering,1.171059869990371,PRIVATE,Other,North America,2,3,2,0,0,0,0,1,1,10,2
urn:harmonic:company:49899178,0,0,"Hamming provides an automated platform for testing AI voice agents, allowing the simulation of thousands of concurrent calls to identify issues efficiently. The technology encompasses prompt optimization and active monitoring, ensuring compatibility with various AI frameworks and voice infrastructures, which is essential for enterprises in high-stakes environments.",1.0,0.09009009009009007,0.85,1,0,2,1,0,0,North America,12.0,1.0,1.3333333730697632,1.5,1.9142601490020752,0.8333333333333334,0.6,12.0,11,9,0.260100122948228,1.3154761904761907,0.4329717879504365,0.8571428571428571,2.0,1.0,1140.0,1.0,2.0105819702148438,8.08510684967041,,0.0,1140.0,0,1.0,373.816226812817,,,,,,,,,11.805929919137467,2.7906976744186047,3.4,4.871570629876314,10,4.3,SEED,3800000.0,SEED,0.07118412046543464,0.0,0.85,1.0164383561643835,business_development,0.45056120886630463,Data,1.3605138827424867,PRIVATE,Other,North America,12,3,3,0,0,0,0,0,6,5,12
urn:harmonic:company:11125538,0,1,"Vooma offers an automated order entry platform that leverages AI, computer vision, and natural language processing to extract load data from various formats, significantly minimizing manual data entry errors. The platform is designed for seamless integration with transportation management systems, optimizing order management for logistics brokers and carriers.",1.0,0.07407407407407407,0.9642857142857143,3,1,3,2,0,2,North America,17.0,0.8823529481887817,1.0714285373687744,1.25,1.875,1.0,0.5454545454545454,15.0,17,18,0.40397772212398536,1.2516323953823953,0.13850773304377864,1.0909090909090908,1.6,1.1333333333333333,1345.0,1.0,1.998514175415039,2.472426414489746,3.49350643157959,14.0,1345.0,0,1.0,262.76349364927245,42.42311661506707,4.5754470845358854,,,,,,,7.438858695652173,0.8185544241556938,2.892857142857143,6.75,32,18.324988,SERIES_A,14224988.0,SERIES_A,0.15331964407939766,-2.0,0.9642857142857143,2.0164383561643837,business_development,0.410116318288409,Engineering,1.2650013752730702,PRIVATE,Infrastructure,North America,24,3,3,0,0,0,0,2,8,21,23
urn:harmonic:company:40769117,0,0,"Dili is an AI platform designed to automate the due diligence process in deal-making by extracting essential metrics, identifying risks, and generating reports from various document formats, including spreadsheets. It incorporates customizable workflows to enhance accuracy and reduce human error in complex transactions.",1.0,0.09009009009009007,0.85,1,0,0,0,0,0,North America,10.0,1.0,1.1111111640930176,1.6666666269302368,2.5,0.8181818181818182,0.6,10.0,12,13,0.337977846823295,1.2836111111111113,0.2663786059885348,1.0,1.8,1.0,2213.0,1.0,1.0288238525390625,1.2273987531661987,2.8012657165527344,0.0,2213.0,0,1.0,542.1407589953947,106.37151702786379,,711.0,716.0,2,0.9930167597765364,16.3707055437449,,4.965986394557823,2.439024390243903,3.4,5.1,6,4.1,SEED,3600000.0,SEED,0.9062286105407256,5.0,0.85,2.0136986301369864,business_development,0.45056120886630463,Operations,0.9502705392332347,PRIVATE,Other,North America,15,2,0,0,0,0,0,0,1,9,14
urn:harmonic:company:48696611,0,5,Mercor matches you with elite opportunities Join the thousands of candidates around the world using Mercor to land their remote dream job with just a single application.,1.0,0.06741573033707865,0.6846153846153846,3,0,1,3,1,5,North America,164.0,0.7317073345184326,1.600000023841858,2.1818182468414307,2.7746353149414062,1.0,0.8,130.0,11,9,0.5064552047797776,1.6235151515151514,0.37636958956888344,1.3636363636363635,2.1866666666666665,1.2615384615384615,266584.0,1.0082788467407227,827.0492553710938,1906.319091796875,,130.0,266584.0,0,1.0,120299.15564296665,,7.626397751775111,3232.0,3232.0,0,1.0,25.45584412271571,,59.510869565217384,3.571428571428571,44.5,52.544965407807986,47,33.6,SERIES_A,30000000.0,SERIES_A,0.32306639288158795,45.0,0.6846153846153846,2.0164383561643837,business_development,1.304643250067906,Engineering,1.246111680367075,OTHER,Other,North America,14,1,2,0,0,0,1,1,8,35,13
urn:harmonic:company:36850769,0,0,"Brico offers a software platform that automates the processes of acquiring, renewing, and managing financial licenses in the U.S., emphasizing regulatory compliance and operational efficiency. The platform utilizes technologies such as real-time regulatory data synchronization, automated reporting, and a centralized management system to enhance licensing workflows and reduce costs.",1.0,0.20000000000000004,0.909090909090909,1,0,1,2,0,0,North America,18.0,1.0,1.5,2.25,3.0,0.8333333333333334,0.5454545454545454,18.0,14,15,0.5843952918554847,1.9176136363636365,1.3907074583996752,1.0,6.0,1.0,506.0,1.0,1.2777777910232544,2.3317971229553223,5.685393333435059,11.0,506.0,0,1.0,148.798841521348,26.952528379772964,3.8501476017100584,,,,,,,8.938775510204081,2.25,9.09090909090909,10.909090909090907,9,8.0,SEED,8000000.0,SEED,0.34496919917864477,7.0,0.909090909090909,2.0136986301369864,business_development,0.5982695885852573,Operations,1.2130075659799042,PRIVATE,Other,North America,6,0,0,0,0,0,0,1,1,6,5
urn:harmonic:company:46726757,1,1,"FINNY AI provides a prospecting tool for wealth managers that utilizes proprietary databases to identify potential clients based on significant life events and predictive scoring. The platform automates outreach communications, employing advanced technology to enhance engagement and personalization.",1.0,0.3076923076923077,0.9285714285714286,2,0,0,0,0,0,North America,18.0,1.0,1.0,1.7999999523162842,4.5,0.8,0.3333333333333333,18.0,11,12,0.4979295977319692,1.5727675670658128,0.5012182934891602,0.9473684210526315,2.375,1.0,1614.0,1.1003717184066772,1.3609195947647095,2.8691437244415283,8.109588623046875,14.0,1614.0,0,1.0,482.41764880525244,80.81114551083593,4.756050216947227,,,,,,,8.963165075034107,3.75,7.428571428571429,13.0,6,4.8,SEED,4300000.0,SEED,0.09582477754962354,0.0,0.9285714285714286,2.0082191780821916,business_development,1.0114042647073518,Operations,1.5157079520857129,PRIVATE,Other,Europe,8,3,0,0,0,0,0,0,2,7,8
urn:harmonic:company:18191255,1,2,"Boon provides a Connected AI Platform tailored for the supply chain and logistics industry, facilitating automation of tasks such as data entry, dispatch, and load sourcing while integrating with existing software systems. The platform employs AI-driven tools for real-time communication and alerts, aimed at improving operational efficiency and reducing manual intervention.",1.0,0.09009009009009007,0.85,0,0,1,4,1,1,North America,17.0,1.4117647409439087,1.4117647409439087,1.4117647409439087,2.1818182468414307,0.75,0.6363636363636364,24.0,15,16,0.2577488488478404,1.1735780423280424,0.15324343618689357,0.9333333333333333,1.375,0.7083333333333334,540.0,1.0,1.0,1.1764706373214722,3.1395349502563477,0.0,540.0,0,1.0,175.9857830432144,34.001031991744085,,,,,,,,11.902173913043477,1.170731707317073,5.95,11.049999999999999,41,20.5,SERIES_A,20500000.0,SERIES_A,0.05475701574264202,0.0,0.85,2.0164383561643837,business_development,0.45056120886630463,Engineering,1.4718832548709921,OTHER,Other,North America,2,1,11,0,0,0,1,0,15,23,3
