entity_urn,United States Sales,United States Engineering,description,country_multiplier,sales_ratio,adj_hc_ratio,investor_1,investor_2,Prior VC Backed Founder_count,Deep Technical Background_count,Prior Exit_count,Elite Industry Experience_count,company_region,headcount_0m,headcount_growth_1m,headcount_growth_3m,headcount_growth_6m,headcount_growth_12m,headcount_monotonicity,headcount_concavity,max_headcount,earliest_valid_month,num_valid_months,headcount_volatility_score,trailing_growth_avg,trailing_growth_std,trailing_growth_min,trailing_growth_max,current_max_ratio,linkedin_follower_count_0m,linkedin_follower_growth_1m,linkedin_follower_growth_3m,linkedin_follower_growth_6m,linkedin_follower_growth_12m,linkedin_employees,linkedin_follower_count_max,linkedin_follower_peak_month,linkedin_current_peak_count_ratio,linkedin_follower_count_volatility,linkedin_follower_trend,followers_per_linkedin_employee,twitter_follower_count_0m,twitter_follower_count_max,twitter_follower_peak_month,twitter_current_peak_ratio,twitter_follower_count_volatility,twitter_follower_trend,emps/year,emps/funds_m,adj_emp_delta_6m,adj_emp_delta_12m,emp_highlight_count,funding_total,last_funding_type,last_funding_total,funding_stage,years_since_funding,hc_adds_since_funding,adj_hc_ratio,years_since_founding,dominant_function,business_function_entropy,dominant_emp_role,emp_role_entropy,ownership_status,gpt_sector,top_region,num_investors,employee_highlight_YC Backed Founder,employee_highlight_Prior VC Backed Executive,employee_highlight_Founder Turned Operator,employee_highlight_Current Student,employee_highlight_HBCU Alum,employee_highlight_Jack of All Trades,employee_highlight_money_club_count,employee_highlight_seasoned_count,employee_highlight_top_institution_experience_count,num_unique_vc_backers
urn:harmonic:company:1443095,4,23,"Hebbia provides an AI-driven platform that automates knowledge work by utilizing large language model technologies to extract, structure, and analyze various document types, thereby streamlining complex workflows. The platform emphasizes transparency and security, making it suitable for enterprise-level applications.",1.0,0.16339869281045752,0.9870967741935485,3,0,7,3,2,4,North America,101,1.0,1.1538461446762085,1.875,2.142857074737549,0.9166666666666666,0.6363636363636364,31.0,17,18,1.5752915696504457,1.7800086487586488,1.89388966069114,1.0,7.769230769230769,3.2580645161290325,23548,1.2566585540771484,2.2370688915252686,3.8091742992401123,12.814814567565918,31.0,23548.0,0,1.0,5453.3585681855375,467.6264189886476,6.634124559885901,4562.0,4562.0,0,1.0,1014.7839019451673,86.78534571723421,3.4499054820415878,0.4823151125401929,6.909677419354839,7.896774193548388,80,31.1,SERIES_A,28100000.0,SERIES_B,2.4695414099931554,7.0,0.9870967741935485,4.347945205479452,sales,0.7963116401738131,Engineering,1.296886433752774,PRIVATE,Other,North America,18,2,3,2,0,0,0,3,10,62,18
urn:harmonic:company:1990249,1,1,"Axion Ray provides an AI-driven platform designed for the early detection of quality issues in manufacturing, utilizing natural language processing and data aggregation for automated trend analysis. This technology aims to deliver real-time insights that enhance product quality and reduce downtime.",1.0,0.09009009009009007,0.85,1,0,0,5,0,9,North America,215,0.9473684430122375,0.8571428656578064,1.2000000476837158,1.7999999523162842,0.8333333333333334,0.5454545454545454,18.0,17,18,1.950925472482666,2.0186015373515374,2.604266478544267,0.75,10.238095238095237,11.944444444444445,3834,1.0292478799819946,1.0883651971817017,1.3761638402938843,1.806846022605896,0.0,3834.0,0,1.0,817.9220443222173,88.72239422084621,,,,,,,,4.540428472702143,18.0,2.55,6.8,54,0.4218499999999999,SERIES_A,5100000.0,SERIES_A,2.2313483915126624,16.0,0.85,3.9643835616438357,business_development,0.45056120886630463,Operations,1.810614474895723,PRIVATE,Vertical Software,North America,10,0,8,0,1,0,0,0,20,34,10
urn:harmonic:company:3075425,0,1,"The company provides an AI-driven decision support system designed for omni-channel retailers, utilizing advanced machine learning to produce precise demand signals and optimize inventory management. This technology addresses challenges related to excess inventory and overproduction, aiming to improve profit margins and decrease on-hand stock.",1.0,0.0,0.8481481481481482,1,0,1,4,0,2,North America,49,1.0625,1.1333333253860474,1.1333333253860474,2.125,0.75,0.36363636363636365,27.0,17,18,0.7454170775234781,1.4221730475406946,0.608073899682299,0.9411764705882353,3.2666666666666666,1.8148148148148149,5935,1.0238248109817505,1.0988250970840454,1.2679425477981567,1.5244487524032593,27.0,5935.0,0,1.0,1144.7921065941455,120.55727554179556,5.397324408233688,,,,,,,3.823166974738139,2.328767123287671,1.6962962962962964,7.633333333333334,38,7.3,SERIES_1,6300000.0,SERIES_A,2.43668720054757,11.0,0.8481481481481482,4.446575342465754,sales,0.0,Advisor,1.7052040713947592,PRIVATE,Other,North America,18,1,9,0,0,0,0,1,26,24,18
urn:harmonic:company:10819970,1,3,"The product specializes in transforming unstructured data from diverse formats, such as HTML and PDFs, into structured JSON files that are compatible with AI applications. It utilizes open-source technologies for data ingestion and preprocessing, enabling seamless integration of complex data into enterprise systems.",1.0,0.09009009009009007,0.85,3,0,1,5,0,4,North America,79,1.0,1.100000023841858,1.0666667222976685,,0.75,0.5454545454545454,11.0,6,4,1.3376110424661471,,,,,7.181818181818182,17285,1.073770523071289,,,,0.0,17285.0,0,1.0,9854.831522321085,,,5306.0,5306.0,0,1.0,3054.7661667193665,,3.710720887245841,11.0,0.5843754571629446,,63,0.4218499999999999,EARLY_STAGE_VC,,SERIES_B,2.299794661190965,0.6875005378387584,0.85,2.9643835616438357,business_development,0.45056120886630463,Engineering,1.649848467043874,PRIVATE,Data,North America,21,0,12,0,0,0,0,1,34,43,22
urn:harmonic:company:3928206,1,1,"SmarterDx provides a clinical AI solution that analyzes patient charts and electronic medical records, utilizing over 30,000 data points to enhance diagnosis documentation and identify missed revenue opportunities. The technology integrates seamlessly into existing healthcare workflows, improving revenue integrity and streamlining clinical documentation processes.",1.0,0.09009009009009007,0.85,3,0,2,6,1,5,North America,102,0.875,1.1666666269302368,2.3333332538604736,,1.0,0.25,7.0,7,8,1.9536315888210984,4.735238095238095,6.875284863197551,1.1428571428571428,17.0,14.571428571428571,3744,1.0803571939468384,1.4756097793579102,2.2407407760620117,,0.0,3744.0,0,1.0,1298.730671518486,,,,,,,,,1.4092664092664093,1.172529313232831,3.4,,47,5.97,SERIES_1,5970000.0,SERIES_B,2.5763175906913074,4.0,0.85,4.967123287671233,business_development,0.45056120886630463,Data,1.9324693882241912,PRIVATE,Healthcare Software,North America,7,0,14,0,0,1,0,2,34,19,8
urn:harmonic:company:1974779,6,4,"The main product is a cloud-based software platform designed for finance teams in government, higher education, and healthcare, facilitating the management of debt, leases, and subscriptions while ensuring compliance with GASB 87 and GASB 96. It incorporates automation for reporting processes and enables collaborative data management to enhance operational efficiency.",1.0,0.09009009009009007,0.85,0,0,0,0,0,1,North America,145,1.0493826866149902,1.1643835306167603,1.5740740299224854,2.297297239303589,1.0,0.5454545454545454,85.0,17,18,0.5364076916372867,1.2942667609917506,0.23857761070794928,1.0909090909090908,1.9863013698630136,1.7058823529411764,3193,1.051383376121521,1.173098087310791,1.399999976158142,1.9630995988845825,0.0,3193.0,0,1.0,624.1336400592382,74.90918472652216,,91.0,91.0,0,1.0,21.598781283701555,3.353973168214655,14.244719926538108,7.588879167187472,26.349999999999998,40.8,15,11.2006,EARLY_STAGE_VC,7500000.0,SERIES_A,2.327173169062286,66.0,0.85,5.967123287671233,business_development,0.45056120886630463,Customer Success,1.5812475036363791,PRIVATE,Vertical Software,North America,5,0,4,0,0,1,0,0,20,10,5
urn:harmonic:company:6585,2,6,"Freshpaint provides a healthcare privacy platform that replaces non-compliant tracking technologies to ensure HIPAA compliance by automatically blocking sensitive data. The platform employs autotracking, precision tracking, and secure server-side connections to integrate with analytics and advertising tools while maintaining patient privacy.",1.0,0.3203661327231121,0.9711111111111111,2,0,1,1,1,3,North America,87,1.1111111640930176,1.2121212482452393,1.8181818723678589,1.8181818723678589,0.8333333333333334,0.45454545454545453,45.0,17,18,0.6149256676527391,1.2989197095175353,0.4542574373274821,0.9565217391304348,2.6363636363636362,1.9333333333333333,5697,1.1156601905822754,1.2281689643859863,1.713836431503296,2.5829384326934814,45.0,5697.0,0,1.0,1187.4415843905203,161.0196078431372,4.848900370910689,257.0,257.0,0,1.0,52.06770353716387,5.5149638802889545,6.703397612488522,1.2578616352201257,17.48,17.48,33,31.8,DEBT_FINANCING,5000000.0,SERIES_B,2.0917180013689256,29.0,0.9711111111111111,5.967123287671233,sales,0.8982053397041498,Engineering,1.7388554151788567,PRIVATE,Data,North America,8,2,13,0,1,0,0,1,28,17,8
urn:harmonic:company:1678507,0,1,"The product is an AI-driven platform for healthcare documentation that provides real-time transcription and coding assistance, aimed at improving efficiency and compliance in medical workflows. It employs advanced speech recognition and multi-modal technologies to integrate with electronic medical records across various specialties.",1.0,0.0,0.9538461538461539,1,0,3,1,0,7,North America,122,6.5,6.5,4.666666507720947,,0.3333333333333333,1.0,26.0,6,7,2.352996495482678,21.0,34.64101615137755,1.0,61.0,4.6923076923076925,12125,,,,,26.0,12125.0,0,1.0,,,6.147070211887129,,,,,,,2.6172090457804744,0.5,9.742857052355394,,55,26.0,SERIES_A,26000000.0,SERIES_B,2.132785763175907,10.214285619404848,0.9538461538461539,4.967123287671233,sales,0.0,Engineering,1.6007604218884992,PRIVATE,Healthcare Software,North America,15,0,6,0,0,0,0,1,22,42,15
urn:harmonic:company:802310,1,2,SafeBase offers a Trust Center Platform that automates the security review process by leveraging AI to handle complex security questionnaires efficiently. The platform integrates with various workflow tools and provides analytics to improve the transparency and effectiveness of security assessments.,1.0,0.11363636363636365,0.9103448275862068,2,0,8,1,1,4,North America,89,1.0714285373687744,1.1538461446762085,1.5,3.0,1.0,0.5454545454545454,58.0,17,18,0.6635107148556318,1.425517427726571,0.35570643913591177,1.0714285714285714,2.282051282051282,1.5344827586206897,5979,1.0505772829055786,1.2647253274917603,1.5911740064620972,2.4980392456054688,58.0,5979.0,0,1.0,1237.9560425954924,156.94530443756443,4.645219468250007,118.0,118.0,0,1.0,28.665526653118615,4.224974200206399,9.059569773855488,2.2360248447204967,13.655172413793103,27.310344827586206,59,20.125,SERIES_A,18000000.0,SERIES_B,2.7789185489390826,38.0,0.9103448275862068,4.967123287671233,sales,0.6890092384766586,Advisor,1.9559697125536484,PRIVATE,Cybersecurity,North America,15,2,18,0,0,0,0,5,31,30,15
urn:harmonic:company:1450255,0,4,"FlutterFlow is an application development platform that enables users to build native mobile and web applications through a visual interface featuring drag-and-drop functionality, data integration, and options for custom coding. It utilizes technologies such as Firebase for real-time data connectivity and offers a library of pre-designed components to facilitate deployment across multiple devices.",1.0,0.037453183520599245,0.6675000000000001,1,0,8,6,0,1,North America,167,1.0,1.2272727489471436,1.5882352590560913,2.700000047683716,1.0,0.45454545454545453,40.0,17,18,1.6229238356261175,1.8513350619968267,1.8101810491179482,1.1818181818181819,7.590909090909091,4.175,42916,1.1074692010879517,1.6132872104644775,3.1523261070251465,8.13621711730957,40.0,42916.0,0,1.0,9773.400004453866,1179.5232198142417,6.979052160864171,25595.0,25595.0,0,1.0,5579.533682813203,722.6640866873064,6.535145888594164,27.0,6.675000000000001,11.347500000000002,47,0.125,SEED,125000.0,SERIES_A,2.5489390828199863,22.0,0.6675000000000001,4.131506849315069,business_development,0.8744400947413469,Engineering,1.5620200737915484,PRIVATE,Infrastructure,Asia,12,5,0,0,1,0,0,3,5,32,11
