entity_urn,ownership_status,headcount,twitter_follower_count,linkedin_follower_count,funding_total,funding_stage,gpt_sector,domain,name,city,country,years_since_founding,investors,highlights,is_target,similarity_score
urn:harmonic:company:3613480,PRIVATE,14,257.0,739,5.0,SERIES_A,Data,rogo.ai,Rogo,New York,United States,3.9643835616438357,"['BoxGroup' 'Mantis Venture Capital' 'Company' 'Fintech Sandbox'
 'AlleyCorp' 'Original Capital' 'Khosla Ventures' 'ScOp Venture Capital'
 'Jack Altman' ""Kevin O'connor"" 'Eric Schmidt']","['AlleyCorp', 'BoxGroup', 'Eric Schmidt', 'Jack Altman', ""Kevin O'connor"", 'Khosla Ventures', 'Mantis Venture Capital', 'Original Capital', 'ScOp Venture Capital', 'ScOp Ventures']",1,0.9999968
urn:harmonic:company:9609784,PRIVATE,36,1437.0,1545,5.0,SEED,Cybersecurity,doppel.com,Doppel,Covina,United States,2.9643835616438357,"['The Spartan Group' 'Quiet Capital' 'Coinbase' 'Paxos' 'Solana Ventures'
 'Strategic Cyber Ventures' 'Script Capital' 'Caladan' 'Gokul Rajaram'
 'South Park Commons' 'Polygon Studios' 'OpenSea' 'FTX' 'Script Capital'
 'Andreessen Horowitz' '6529 Capital' 'SV Angel' 'Prafulla Dhariwal'
 'Gokul Rajaram' 'Punk 6529' 'Andy Ozment' 'Marc Bhargava' 'Emilio E.'
 'Sabrina Hahn' 'Snir Kodesh' 'Ryan Carlson' 'Ryan Noon' 'Ramsey Homsany'
 'Frederic Kerrest' 'Sri Rao' 'Ryan Noon']","['6529 Capital', 'Andreessen Horowitz', 'Andreessen Horowitz (a16z)', 'Andy Ozment', 'Caladan', 'Coinbase', 'Emilio E.', 'FTX', 'Frederic Kerrest', 'Gokul Rajaram', 'Marc Bhargava', 'OpenSea', 'Paxos', 'Polygon Studios', 'Prafulla Dhariwal', 'Punk 6529', 'Quiet Capital', 'Ramsey Homsany', 'Ryan Carlson', 'Ryan Noon', 'SV Angel', 'Sabrina Hahn', 'Script Capital', 'Snir Kodesh', 'Solana Ventures', 'South Park Commons', 'Sri Rao', 'Strategic Cyber Ventures', 'The Spartan Group']",1,0.99999666
urn:harmonic:company:1443095,PRIVATE,15,617.0,2076,31.1,SERIES_B,,hebbia.ai,Hebbia,New York,United States,4.347945205479452,"['Index Ventures' 'Floodgate' 'GV (Google Ventures)' 'Andreessen Horowitz'
 'Abstract Ventures' 'Radical Ventures' 'Stanley Druckenmiller'
 'Jerry Yang' 'Ram Shriram' 'Sahin Boydas' 'Cory Levy' 'Peter Thiel'
 'Raquel Urtasun' 'Kevin Warsh' 'R. Martin Chavez' 'Kevin Hartz'
 'Naval Ravikant' 'Michael Fertik']","['Abstract Ventures', 'Andreessen Horowitz', 'Cory Levy', 'Floodgate', 'GV (Google Ventures)', 'Index Ventures', 'Jerry Yang', 'Kevin Hartz', 'Kevin Warsh', 'Michael Fertik', 'Naval Ravikant', 'Peter Thiel', 'R. Martin Chavez', 'Radical Ventures', 'Ram Shriram', 'Raquel Urtasun', 'Sahin Boydas', 'Stanley Druckenmiller']",1,0.9999956
urn:harmonic:company:824671,PRIVATE,49,60.0,1784,17.0,SERIES_B,Vertical Software,fieldguide.io,Fieldguide,San Francisco,United States,4.717808219178083,"['Floodgate' 'Global Founders Capital' '8VC' 'Fourth Realm VC'
 'Association of International Certified Professional Accountants'
 'Thomson Reuters Ventures' 'Y Combinator' 'Bessemer Venture Partners'
 'Elad Gil']","['8VC', 'AICPA/CPA.com', 'Association of International Certified Professional Accountants', 'Bessemer Venture Partners', 'Elad Gil', 'Floodgate', 'Fourth Realm VC', 'Global Founders Capital', 'Thomson Reuters Ventures', 'Y Combinator']",1,0.9999943
urn:harmonic:company:796251,PRIVATE,57,77.0,1631,38.0,SERIES_B,Healthcare Software,acuitymd.com,"AcuityMD, Inc.",Boston,United States,5.967123287671233,"['Ajax Health' 'Benchmark' 'ICONIQ Capital' 'Partners Fund Capital'
 'Atreides Management, LP' 'Artisanal Ventures' 'StepStone Group'
 'Spearhead' 'Redpoint' 'Benchmark Capital']","['Ajax Health', 'Artisanal Ventures', 'Atreides Management', 'Benchmark', 'Benchmark Capital', 'ICONIQ Capital', 'ICONIQ Growth', 'Partners Fund Capital', 'Redpoint', 'Redpoint Venture Partners', 'Spearhead', 'StepStone Group']",1,0.99999356
urn:harmonic:company:4424857,PRIVATE,11,14.0,361,0.375,SERIES_A,Vertical Software,permitflow.com,PermitFlow,New York,United States,2.9643835616438357,"['Felicis' 'Procore Technologies' 'DVC' 'Thumbtack'
 'Global Founders Capital' 'PlanGrid, an Autodesk company'
 'Kleiner Perkins' 'Y Combinator' 'Zillow' 'Altos Ventures'
 'Amino Capital' 'OpenDoor Venture Capital' 'Foundamental'
 'Mighty Buildings' 'Initialized Capital' 'Bradley Horowitz']","['Altos Ventures', 'Amino Capital', 'Bluebeam', 'Bradley Horowitz', 'DVC', 'Felicis', 'Felicis Ventures', 'Foundamental', 'Global Founders Capital', 'Initialized Capital', 'Kleiner Perkins', 'Mighty Buildings', 'OpenDoor Venture Capital', 'PlanGrid', 'an Autodesk company', 'Procore Technologies', 'Thumbtack', 'Y Combinator', 'Zillow']",1,0.9999933
urn:harmonic:company:12399189,PRIVATE,8,83.0,291,0.4218499999999999,SERIES_A,,unifygtm.com,Unify,San Francisco,United States,1.9643835616438357,"['OpenAI Startup Fund' 'Sequoia Capital' 'Neo' 'Abstract Ventures'
 'Thrive Capital' 'Emergence Capital' 'AltCap' '20SALES' 'Ryan Petersen'
 'Sean Henry' 'Guillaume ""𝑮"" Cabane' 'Gene Lee' 'Godard Abel'
 'David Petersen' 'Eric Glyman' 'Jeffrey Queisser' 'Karim Atiyeh']","['20SALES', 'Abstract', 'Abstract Ventures', 'AltCap', 'David Petersen', 'Emergence Capital', 'Eric Glyman', 'Gene Lee', 'Godard Abel', 'Guillaume ""𝑮"" Cabane', 'Jeffrey Queisser', 'Karim Atiyeh', 'Neo', 'OpenAI Startup Fund', 'Ryan Petersen', 'Sean Henry', 'Sequoia Capital', 'Thrive Capital']",1,0.9999926
urn:harmonic:company:802310,PRIVATE,45,50.0,1911,20.125,SERIES_B,Cybersecurity,safebase.io,SafeBase,San Francisco,United States,4.967123287671233,"['Touring Capital' 'J Ventures' 'UpHonest Capital' 'Alumni Ventures'
 'Four Cities Capital' 'Twenty Two Ventures' 'Y Combinator' 'Zoom Venture'
 'New Enterprise Associates (NEA)' 'Cerca Partners' 'Comcast Ventures'
 'Zoom Ventures Ltd' 'L2 Ventures' 'Ellen Ma' 'Jim Alkove']","['Alumni Ventures', 'Cerca Partners', 'Comcast Ventures', 'Ellen Ma', 'Four Cities Capital', 'J Ventures', 'Jim Alkove', 'L2 Ventures', 'New Enterprise Associates (NEA)', 'Touring Capital', 'Twenty Two Ventures', 'UpHonest Capital', 'Y Combinator', 'Zoom Venture', 'Zoom Ventures Ltd']",1,0.9999924
urn:harmonic:company:3215672,PRIVATE,14,703.0,244,7.3,SERIES_A,Infrastructure,livekit.io,LiveKit,San Jose,United States,3.767123287671233,"['Redpoint' 'Redpoint Ventures China' 'WndrCo' 'Jeff Dean' 'Altimeter'
 'Founders, Inc.' 'Ahmad Shariff' 'Boost VC' 'Tim Haley' 'Patrick Chase'
 'Elad Gil' 'Amjad Masad' 'Jeff Dean' 'Aravind Srinivas' 'Guillermo Rauch'
 'Satish Dharmaraj' 'Aravind Srinivas' 'Sujay Jaswa' 'Robin Chan']","['Ahmad Shariff', 'Altimeter', 'Amjad Masad', 'Aravind Srinivas', 'Boost VC', 'Elad Gil', 'Founders', 'Guillermo Rauch', 'Jeff Dean', 'Patrick Chase', 'Redpoint', 'Redpoint Ventures China', 'Robin Chan', 'Satish Dharmaraj', 'Sujay Jaswa', 'Tim Haley', 'WndrCo']",1,0.9999895
urn:harmonic:company:602158,PRIVATE,27,1549.0,1020,11.6,SERIES_B,Cybersecurity,sublime.security,Sublime Security,Washington,United States,5.967123287671233,"['Slow Ventures' 'Decibel Partners' 'IVP' 'Worthi' 'Index Ventures'
 'Martin Roesch' 'Slavik Markovich' 'Dmitri Alperovitch' 'Sounil Yu'
 'Oliver Friedrichs' 'Kevin Patrick Mahaffey' 'Rishi Bhargava'
 'Jerry Perullo' 'Michael Sutton']","['Decibel', 'Decibel Partners', 'Dmitri Alperovitch', 'IVP', 'Index Ventures', 'Jerry Perullo', 'Kevin Patrick Mahaffey', 'Martin Roesch', 'Michael Sutton', 'Oliver Friedrichs', 'Rishi Bhargava', 'Slavik Markovich', 'Slow Ventures', 'Sounil Yu', 'Worthi']",1,0.99998903
